Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PsAtt,PsYds,PsTD,Int,RsAtt,RsYds,Y/A,RsTD,Tgt,Rec,RcYds,Y/R,RcTD,Fmb,FL,TotTD,2PM,2PP,FantPt,PPR,PosRank,OvRank
1,ToddGurley,LAR,RB,24,14,14,0,0,0,0,0,256,1251,4.89,17,81,59,580,9.83,4,1,1,21,3,0,313,372.1,1,1
2,SaquonBarkley,NYG,RB,21,16,16,0,0,0,0,0,261,1307,5.01,11,121,91,721,7.92,4,0,0,15,1,0,295,385.8,2,2
3,ChristianMcCaffrey,CAR,RB,22,16,16,1,1,50,1,0,219,1098,5.01,7,124,107,867,8.10,6,4,1,13,0,0,279,385.5,3,3
4,AlvinKamara,NOR,RB,23,15,13,0,0,0,0,0,194,883,4.55,14,105,81,709,8.75,4,1,0,18,3,0,273,354.2,4,4
5,PatrickMahomes,KAN,QB,23,16,16,383,580,5097,50,12,60,272,4.53,2,0,0,0,0,0,9,2,2,1,0,417,417.1,1,5
6,TyreekHill,KAN,WR,24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17.00,12,0,0,14,0,0,247,334.0,1,6
7,EzekielElliott,DAL,RB,23,15,15,0,0,0,0,0,304,1434,4.72,6,95,77,567,7.36,3,6,1,9,0,0,252,329.1,5,7
8,TravisKelce,KAN,TE,29,16,16,0,0,0,0,0,0,0,0,0,150,103,1336,12.97,10,2,1,10,0,0,192,294.6,1,8
9,AntonioBrown,PIT,WR,30,15,15,0,1,0,0,0,0,0,0,0,168,104,1297,12.47,15,0,0,15,0,0,220,323.7,2,9
10,DavanteAdams,GNB,WR,26,15,15,0,0,0,0,0,0,0,0,0,169,111,1386,12.49,13,0,0,13,1,0,219,329.6,3,10
11,DeAndreHopkins,HOU,WR,26,16,16,0,1,0,0,0,1,-7,-7.00,0,163,115,1572,13.67,11,2,2,11,0,0,219,333.5,4,11
12,JulioJones,ATL,WR,29,16,16,0,0,0,0,0,2,12,6.00,0,170,113,1677,14.84,8,2,2,8,0,0,213,325.9,5,12
13,MelvinGordon,LAC,RB,25,12,12,0,0,0,0,0,175,885,5.06,10,66,50,490,9.80,4,1,0,14,2,0,226,275.5,6,13
14,JamesConner,PIT,RB,23,13,12,0,0,0,0,0,215,973,4.53,12,71,55,497,9.04,1,4,2,13,2,0,225,280.0,7,14
15,MikeEvans,TAM,WR,25,16,16,0,0,0,0,0,0,0,0,0,138,86,1524,17.72,8,2,1,9,0,0,204,290.4,6,15
16,GeorgeKittle,SFO,TE,25,16,16,0,0,0,0,0,1,10,10.00,0,136,88,1377,15.65,5,0,0,5,1,0,171,258.7,2,16
17,ZachErtz,PHI,TE,28,16,16,0,0,0,0,0,0,0,0,0,156,116,1163,10.03,8,1,0,8,0,0,164,280.3,3,17
18,AdamThielen,MIN,WR,28,16,16,0,0,0,0,0,5,30,6.00,0,153,113,1373,12.15,9,1,1,9,1,0,194,307.3,7,18
19,MichaelThomas,NOR,WR,25,16,16,0,0,0,0,0,0,0,0,0,147,125,1405,11.24,9,2,2,9,0,0,191,315.5,8,19
20,EricEbron,IND,TE,25,16,8,0,1,0,0,0,3,-8,-2.67,1,110,66,750,11.36,13,1,1,14,0,0,156,222.2,4,20
21,MattRyan,ATL,QB,33,16,16,422,608,4924,35,7,33,125,3.79,3,1,1,5,5.00,1,10,5,4,0,2,354,355.0,2,21
22,JuJuSmithSchuster,PIT,WR,22,16,13,0,0,0,0,0,1,13,13.00,0,166,111,1426,12.85,7,1,1,7,1,0,186,296.9,9,22
23,KareemHunt,KAN,RB,23,11,11,0,0,0,0,0,181,824,4.55,7,35,26,378,14.54,7,0,0,14,0,0,204,230.2,8,23
24,JoeMixon,CIN,RB,22,14,13,0,0,0,0,0,237,1168,4.93,8,55,43,296,6.88,1,0,0,9,0,0,200,243.4,9,24
25,RobertWoods,LAR,WR,26,16,16,0,0,0,0,0,19,157,8.26,1,130,86,1219,14.17,6,0,0,7,0,0,180,265.6,10,25
26,DavidJohnson,ARI,RB,27,16,16,0,0,0,0,0,258,940,3.64,7,76,50,446,8.92,3,3,2,10,1,0,197,246.6,10,26
27,BenRoethlisberger,PIT,QB,36,16,16,452,675,5129,34,16,31,98,3.16,3,1,1,-1,-1.00,0,7,2,3,0,4,341,341.9,3,27
28,JamesWhite,NWE,RB,26,16,3,0,0,0,0,0,94,425,4.52,5,123,87,751,8.63,7,0,0,12,0,0,190,276.6,11,28
29,PhillipLindsay,DEN,RB,24,15,8,0,0,0,0,0,192,1037,5.40,9,47,35,241,6.89,1,0,0,10,0,0,188,222.8,12,29
30,DerrickHenry,TEN,RB,24,16,12,2,3,14,0,0,215,1059,4.93,12,18,15,99,6.60,0,1,1,12,0,0,186,201.4,13,30
31,DeshaunWatson,HOU,QB,23,16,16,345,505,4165,26,9,99,551,5.57,5,0,0,0,0,0,9,3,5,0,0,332,331.7,4,31
32,TylerLockett,SEA,WR,26,16,14,0,0,0,0,0,13,69,5.31,0,70,57,965,16.93,10,2,0,10,1,0,165,222.4,11,32
33,StefonDiggs,MIN,WR,25,15,14,0,0,0,0,0,10,62,6.20,0,149,102,1021,10.01,9,0,0,9,1,0,164,266.3,12,33
34,BrandinCooks,LAR,WR,25,16,16,0,0,0,0,0,10,68,6.80,1,117,80,1204,15.05,5,1,0,6,0,0,163,243.2,13,34
35,KeenanAllen,LAC,WR,26,16,14,0,0,0,0,0,9,75,8.33,0,136,97,1196,12.33,6,3,1,6,1,0,163,260.1,14,35
36,TYHilton,IND,WR,29,14,14,0,0,0,0,0,0,0,0,0,120,76,1270,16.71,6,0,0,6,0,0,163,239.0,15,36
37,ChrisCarson,SEA,RB,24,14,14,0,0,0,0,0,247,1151,4.66,9,24,20,163,8.15,0,3,2,9,0,0,181,201.4,14,37
38,AndrewLuck,IND,QB,29,16,16,430,639,4593,39,15,46,148,3.22,0,2,1,4,4.00,0,6,1,0,0,2,327,327.9,5,38
39,JaredCook,OAK,TE,31,16,14,0,0,0,0,0,0,0,0,0,101,68,896,13.18,6,0,0,6,0,0,126,193.6,5,39
40,NickChubb,CLE,RB,23,16,9,0,0,0,0,0,192,996,5.19,8,29,20,149,7.45,2,0,0,10,0,0,175,194.5,15,40
41,OdellBeckhamJr,NYG,WR,26,12,12,2,2,106,2,0,5,19,3.80,0,124,77,1052,13.66,6,2,1,6,0,0,153,230.3,16,41
42,AdrianPeterson,WAS,RB,33,16,16,0,0,0,0,0,251,1042,4.15,7,26,20,208,10.40,1,3,2,8,0,0,169,189.0,16,42
43,AaronRodgers,GNB,QB,35,16,16,372,597,4442,25,2,43,269,6.26,2,0,0,0,0,0,6,3,2,1,2,313,312.6,6,43
44,TylerBoyd,CIN,WR,24,14,14,0,1,0,0,0,2,3,1.50,0,108,76,1028,13.53,7,0,0,7,0,0,145,221.1,17,44
45,JaredGoff,LAR,QB,24,16,16,364,561,4688,32,12,43,108,2.51,2,0,0,0,0,0,12,5,2,0,3,310,310.3,7,45
46,TarikCohen,CHI,RB,23,16,7,1,1,1,1,0,99,444,4.48,3,91,71,725,10.21,5,7,3,8,0,0,163,233.9,17,46
47,CalvinRidley,ATL,WR,24,16,5,0,0,0,0,0,6,27,4.50,0,92,64,821,12.83,10,2,1,10,0,0,143,206.8,18,47
48,TevinColeman,ATL,RB,25,16,14,0,0,0,0,0,167,800,4.79,4,44,32,276,8.63,5,2,0,9,0,0,162,193.6,18,48
49,MarlonMack,IND,RB,22,12,10,0,0,0,0,0,195,908,4.66,9,26,17,103,6.06,1,2,2,10,2,0,161,178.1,19,49
50,JordanHoward,CHI,RB,24,16,15,0,0,0,0,0,250,935,3.74,9,26,20,145,7.25,0,2,1,9,0,0,160,180.0,20,50
51,AmariCooper,2TM,WR,24,15,15,0,0,0,0,0,2,20,10.00,0,107,75,1005,13.40,7,2,2,7,0,0,141,215.5,19,51
52,DrewBrees,NOR,QB,39,15,15,364,489,3992,32,5,31,22,0.71,4,1,1,1,1.00,0,5,1,4,0,1,304,305.0,8,52
53,MikeWilliams,LAC,WR,24,16,5,0,0,0,0,0,7,28,4.00,1,66,43,664,15.44,10,0,0,11,1,0,137,180.2,20,53
54,KennyGolladay,DET,WR,25,15,13,0,0,0,0,0,1,8,8.00,0,119,70,1063,15.19,5,1,0,5,0,0,137,207.1,21,54
55,JarvisLandry,CLE,WR,26,16,14,1,2,63,0,0,3,60,20.00,1,149,81,976,12.05,4,1,1,5,0,1,136,217.1,22,55
56,KenyanDrake,MIA,RB,24,16,7,0,0,0,0,0,120,535,4.46,4,73,53,477,9.00,5,2,1,9,0,0,153,206.2,21,56
57,JulianEdelman,NWE,WR,32,12,12,2,2,43,0,0,9,107,11.89,0,108,74,850,11.49,6,1,0,6,0,0,133,207.4,23,57
58,RussellWilson,SEA,QB,30,16,16,280,427,3448,35,7,67,376,5.61,0,1,1,-11,-11.00,0,10,2,0,0,1,298,299.4,9,58
59,LamarMiller,HOU,RB,27,14,14,0,0,0,0,0,210,973,4.63,5,35,25,163,6.52,1,1,1,6,0,0,148,172.6,22,59
60,EmmanuelSanders,DEN,WR,31,12,12,1,1,28,1,0,4,53,13.25,1,98,71,868,12.23,4,1,0,5,0,0,127,198.2,24,60
61,TreyBurton,CHI,TE,27,16,16,0,0,0,0,0,1,2,2.00,0,76,54,569,10.54,6,1,1,6,1,0,93,147.1,6,61
62,AaronJones,GNB,RB,24,12,8,0,0,0,0,0,133,728,5.47,8,35,26,206,7.92,1,1,1,9,0,0,145,171.4,23,62
63,ChrisGodwin,TAM,WR,22,16,5,0,0,0,0,0,0,0,0,0,95,59,842,14.27,7,4,1,7,1,0,126,185.2,25,63
64,AustinHooper,ATL,TE,24,16,7,0,0,0,0,0,0,0,0,0,88,71,660,9.30,4,0,0,4,1,0,92,163.0,7,64
65,DavidNjoku,CLE,TE,22,16,14,0,0,0,0,0,0,0,0,0,88,56,639,11.41,4,0,0,4,0,0,88,143.9,8,65
66,KyleRudolph,MIN,TE,29,16,16,0,0,0,0,0,0,0,0,0,82,64,634,9.91,4,0,0,4,0,0,87,151.4,9,66
67,AlshonJeffery,PHI,WR,28,13,13,0,0,0,0,0,0,0,0,0,92,65,843,12.97,6,1,0,6,0,0,120,185.3,26,67
68,OJHoward,TAM,TE,24,10,8,0,0,0,0,0,0,0,0,0,48,34,565,16.62,5,0,0,5,0,0,87,120.5,10,68
69,DakPrescott,DAL,QB,25,16,16,356,526,3885,22,8,75,305,4.07,6,1,0,0,0,0,12,6,6,1,1,286,285.9,10,69
70,PhilipRivers,LAC,QB,37,16,16,347,508,4308,32,12,18,7,0.39,0,0,0,0,0,0,2,1,0,0,5,285,285.0,11,70
71,CoreyDavis,TEN,WR,23,16,16,0,0,0,0,0,6,55,9.17,0,112,65,891,13.71,4,1,0,4,0,0,119,183.6,27,71
72,RobGronkowski,NWE,TE,29,13,11,0,0,0,0,0,0,0,0,0,72,47,682,14.51,3,1,1,3,0,0,84,131.2,11,72
73,LarryFitzgerald,ARI,WR,35,16,16,1,1,32,1,0,0,0,0,0,112,69,734,10.64,6,0,0,6,1,0,117,185.7,28,73
74,SterlingShepard,NYG,WR,25,16,16,0,0,0,0,0,3,33,11.00,0,107,66,872,13.21,4,1,0,4,1,0,117,182.5,29,74
75,CamNewton,CAR,QB,29,14,14,320,471,3395,24,13,101,488,4.83,4,0,0,0,0,0,6,0,4,0,2,283,282.6,12,75
76,VanceMcDonald,PIT,TE,28,15,14,0,0,0,0,0,0,0,0,0,72,50,610,12.20,4,2,1,4,0,0,83,133.0,12,76
77,MattBreida,SFO,RB,23,14,13,0,0,0,0,0,153,814,5.32,3,31,27,261,9.67,2,1,1,5,0,0,136,162.5,24,77
78,MohamedSanu,ATL,WR,29,16,16,1,2,5,1,0,7,44,6.29,0,94,66,838,12.70,4,2,1,4,1,0,116,182.4,30,78
79,KirkCousins,MIN,QB,30,16,16,425,606,4298,30,10,44,123,2.80,1,1,1,-1,-1.00,0,9,7,1,0,3,282,283.1,13,0
80,TomBrady,NWE,QB,41,16,16,375,570,4355,29,11,23,35,1.52,2,1,1,6,6.00,0,4,2,2,0,0,280,281.3,14,0
81,MitchellTrubisky,CHI,QB,24,14,14,289,434,3223,24,12,68,421,6.19,3,0,0,0,0,0,6,3,3,0,4,263,263.0,15,0
82,EliManning,NYG,QB,37,16,16,380,576,4299,21,11,15,20,1.33,1,0,0,0,0,0,7,4,1,0,3,240,240.0,17,0
83,BakerMayfield,CLE,QB,23,14,13,310,486,3725,27,14,39,131,3.36,0,1,0,0,0,0,7,3,0,1,1,240,240.1,16,0
84,DerekCarr,OAK,QB,27,16,16,381,553,4049,19,10,24,47,1.96,1,1,1,-9,-9.00,0,12,7,1,0,1,216,216.8,18,0
85,CaseKeenum,DEN,QB,30,16,16,365,586,3890,18,15,26,93,3.58,2,0,0,0,0,0,11,2,2,0,0,215,214.9,19,0
